scenario,network_scale,coupon_target_annual,principal_ratio,runs,safe,strong_success,binding_constraint,scheduled_payment_coverage_p05,issuer_unpaid_scheduled_claim_p95,voucher_to_voucher_volume_ratio_vs_baseline,voucher_to_voucher_share_p50,v2s_to_v2v_volume_ratio_p50,s2v_to_v2v_volume_ratio_p50,active_routable_producer_voucher_float_ratio_vs_baseline,producer_borrowing_capacity_used_share_p95,producer_borrowing_capacity_remaining_usd_p50,cap_bound_producer_count_p50,cap_bound_own_voucher_route_suppressed_count_total_p50,own_voucher_v2v_blocked_by_debt_limit_count_total_p50,own_voucher_v2s_blocked_by_debt_limit_count_total_p50,stable_receipts_waiting_for_repayment_usd_p50,producer_debt_arrears_usd_p50,productive_credit_debt_return_scheduled_usd_total_p50,productive_credit_debt_return_received_usd_total_p50,mechanism_capacity_pressure_present,mechanism_v2v_decline_present,mechanism_repayment_waiting_present
bond_issuer_frontier,current,0.12,0.1,100,1,1,,1.0,0.0,1.0055608249207864,0.3301199316757224,0.2803338382267372,0.05041456496948077,0.9983273421226544,0.03054899142434772,127905561.11543642,0.0,0.0,0.0,0.0,2817.8640494572996,48.760629523983354,90534.08459733546,86608.91058735666,0,0,1
bond_issuer_frontier,current,0.12,0.25,100,1,1,,1.0,0.0,0.9977310806147938,0.32675883030753683,0.2832373667661439,0.05049111835148294,1.0005088586168662,0.030436631158853786,127881004.65962495,0.0,0.0,0.0,0.0,2821.672292711388,46.38105045519903,90521.81537534787,86577.48245353415,0,0,1
bond_issuer_frontier,current,0.12,0.5,100,1,1,,1.0,0.0,1.0027594426156696,0.3242781122362899,0.28394267327570283,0.05107421838115377,1.0010583545427136,0.030758191497653777,127894266.83367288,0.0,0.0,0.0,0.0,2838.8668987860638,49.60428355676292,90390.57475255337,86357.25945246905,0,0,1
bond_issuer_frontier,current,0.12,0.75,100,1,1,,1.0,0.0,1.0051132500311752,0.3196276237216492,0.2818628684577166,0.050799129397847705,1.0001219310916734,0.030555281183256643,127822552.75260809,0.0,0.0,0.0,0.0,2868.1041753960053,48.639496389221165,90180.48675294037,86124.15793799792,0,0,1
bond_issuer_frontier,current,0.12,1.0,100,1,1,,1.0,0.0,0.9969143366799949,0.3144958543508632,0.2819679062945804,0.05145433899150977,1.001626961518734,0.030453050113041384,127899647.18194929,0.0,0.0,0.0,0.0,2830.917772334317,48.749825660782975,90359.33746942214,86365.97249569836,0,0,1
bond_issuer_frontier,current,0.12,1.5,100,1,1,,1.0,0.0,0.9954432744652373,0.30441015019246154,0.2884658889434143,0.050954766598220784,1.0032748852695703,0.03054979689057131,127903314.66966468,0.0,0.0,0.0,0.0,2855.4286688710304,42.50188813971556,90154.36051182116,86167.99207765059,0,0,1
bond_issuer_frontier,current,0.12,2.0,100,0,0,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims,0.9762680379707026,1151.1811200211575,0.9939163710282944,0.29680930707052133,0.2918254479747402,0.0517718419998536,1.0027064457886148,0.030595625248501963,127944082.0120182,0.0,0.0,0.0,0.0,2873.879151074296,33.659174033949014,89415.31189802746,85424.0215061515,0,0,1
bond_issuer_frontier,current,0.15,0.05,100,1,1,,1.0,0.0,1.0015928692012137,0.3326563805603636,0.27886618936163976,0.048794048595389404,0.998860476453632,0.030494050698140786,127890290.24050742,0.0,0.0,0.0,0.0,2828.3315062841275,48.6652463922432,90611.28279535164,86725.5279958462,0,0,1
bond_issuer_frontier,current,0.15,0.1,100,1,1,,1.0,0.0,0.997682279929657,0.329858437614564,0.285165518758174,0.04969129766006802,1.0000870077299988,0.030559476227600593,127904570.49122438,0.0,0.0,0.0,0.0,2769.852171102724,41.78069584711086,90474.31223037475,86482.71811240668,0,0,1
bond_issuer_frontier,current,0.15,0.25,100,1,1,,1.0,0.0,1.0019272326936108,0.32809787610782265,0.2805027123170478,0.04936869267263806,1.001774646026309,0.03036238162441314,127942120.75566603,0.0,0.0,0.0,0.0,2835.6079816269994,44.10236446063698,90664.90495325357,86703.66570879918,0,0,1
