scenario,network_scale,coupon_target_annual,bond_fee_service_share,principal_ratio,producer_stable_debt_contract_service_margin_rate,producer_voucher_debt_contract_service_margin_rate,principal_usd_p50,service_coverage_p05,service_coverage_p50,scheduled_payment_coverage_p05,scheduled_payment_coverage_p50,service_cash_headroom_p05,service_cash_headroom_p50,gross_historical_service_cash_headroom_p05,gross_historical_service_cash_headroom_p50,available_service_cash_headroom_p05,available_service_cash_headroom_p50,issuer_lockbox_surplus_usd_p50,issuer_excess_recovered_stable_usd_p50,issuer_operating_surplus_usd_p50,issuer_operating_surplus_headroom_ratio_p50,issuer_fee_waterfall_ops_usd_p50,issuer_sustainability_resources_usd_p50,issuer_sustainability_headroom_ratio_p50,bond_service_lockbox_target_usd_p50,bond_service_lockbox_coverage_ratio_p50,bond_service_lockbox_mode,fee_service_reserved_usd_total_p50,fee_service_stable_reserved_usd_total_p50,fee_service_converted_voucher_reserved_usd_total_p50,issuer_scheduled_debt_service_due_p50,issuer_actual_bondholder_payment_p50,issuer_reserve_balance_p05,issuer_reserve_draw_p95,issuer_unpaid_scheduled_claim_p95,safe,binding_constraint
bond_issuer_frontier,current,0.04,1.0,0.25,0.0,0.0,4558.987333374999,1.0,1.0,1.0,1.0,9.92615128379466,11.363277830471658,9.92615128379466,11.363277830471658,5.055623632402679,5.229689214347885,1265.1189850115634,20139.121518069027,21404.24050308059,4.229689214347885,0.0,21404.24050308059,4.229689214347885,6325.594925057811,1.25,remaining_schedule,1973.7160536139143,578.6788857245984,1382.999257678025,5060.475940046249,5060.475940046249,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.04,1.0,0.5,0.0,0.0,9117.974666749999,1.0,1.0,1.0,1.0,5.20730767461458,6.078717659423118,5.20730767461458,6.078717659423118,2.8403137262228713,2.899052507826144,2530.2379700231268,16689.981079454257,19220.219049477386,1.899052507826144,0.0,19220.219049477386,1.899052507826144,12651.189850115623,1.25,remaining_schedule,4930.161291418719,1356.638527951347,3557.5476675336586,10120.951880092498,10120.951880092498,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.04,1.0,0.75,0.0,0.0,13676.962000124997,1.0,1.0,1.0,1.0,3.705757115292978,4.22779061619123,3.705757115292978,4.22779061619123,2.1109512526916987,2.148436860227932,3795.3569550346874,13639.55434450243,17434.911299537118,1.1484368602279318,0.0,17434.911299537118,1.1484368602279318,18976.784775173433,1.25,remaining_schedule,8100.758496551647,2241.3172434084454,5823.982223362003,15181.427820138746,15181.427820138746,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.04,1.0,1.0,0.0,0.0,18235.949333499997,1.0,1.0,1.0,1.0,2.885325680469673,3.335507207496634,2.885325680469673,3.335507207496634,1.7369111306951717,1.7714007146062047,5060.47594004625,10554.143085550479,15614.619025596727,0.7714007146062046,0.0,15614.619025596727,0.7714007146062046,25302.379700231246,1.25,remaining_schedule,11159.380903332158,3090.8679675778803,8076.033350344134,20241.903760184996,20241.903760184996,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.04,1.0,1.5,0.0,0.0,27353.924000249994,1.0,1.0,1.0,1.0,2.168740413051395,2.454753130295246,2.168740413051395,2.454753130295246,1.3841300397947844,1.4017123067633914,7590.713910069375,4606.418869110346,12197.13277917972,0.40171230676339137,0.0,12197.13277917972,0.40171230676339137,37953.56955034687,1.25,remaining_schedule,17743.5538813824,4862.033812525954,12809.208924687824,30362.855640277492,30362.855640277492,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.04,1.0,2.0,0.0,0.0,36471.898666999994,1.0,1.0,1.0,1.0,1.7628074660931337,1.9634049812546326,1.7628074660931337,1.9634049812546326,1.1570713730166282,1.191164786784654,7739.078432862498,0.0,7739.078432862498,0.19116478678465393,0.0,7739.078432862498,0.19116478678465393,50604.75940046249,1.25,remaining_schedule,23018.180477085443,6264.100456180831,16759.816249493822,40483.80752036999,40483.80752036999,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.08,1.0,0.05,0.0,0.0,911.7974666749999,1.0,1.0,1.0,1.0,43.648005217601344,49.49530064439645,43.648005217601344,49.49530064439645,21.225315049640866,22.046157808524708,278.098227335875,23133.498487791345,23411.59671512722,21.046157808524708,0.0,23411.59671512722,21.046157808524708,1390.491136679375,1.25,remaining_schedule,114.81891446768745,62.63154434266475,54.161428858013124,1112.3929093435,1112.3929093435,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.08,1.0,0.1,0.0,0.0,1823.5949333499998,1.0,1.0,1.0,1.0,21.698825294976157,25.632033452089566,21.698825294976157,25.632033452089566,10.827514524390066,11.181669944032608,556.19645467175,22095.838447363654,22652.034902035404,10.181669944032608,0.0,22652.034902035404,10.181669944032608,2780.98227335875,1.25,remaining_schedule,531.5091021822334,192.40947091346703,334.47801112911264,2224.785818687,2224.785818687,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.08,1.0,0.25,0.0,0.0,4558.987333374999,1.0,1.0,1.0,1.0,9.02770901950064,10.437337890772174,9.02770901950064,10.437337890772174,4.6599273776315515,4.799990787265047,1390.491136679375,19744.922899941943,21135.414036621318,3.799990787265048,0.0,21135.414036621318,3.799990787265048,6952.4556833968745,1.25,remaining_schedule,2212.164520050658,660.5116268695722,1561.8729246166859,5561.9645467175,5561.9645467175,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.08,1.0,0.5,0.0,0.0,9117.974666749999,1.0,1.0,1.0,1.0,4.759546041102119,5.539320114677477,4.759546041102119,5.539320114677477,2.651926520039486,2.6950557994635114,2780.98227335875,16074.698249289126,18855.680522647875,1.6950557994635114,0.0,18855.680522647875,1.6950557994635114,13904.911366793749,1.25,remaining_schedule,5523.296380195727,1540.1833092761808,3979.2272818169367,11123.929093435,11123.929093435,0.0,0.0,0.0,1,
